"job_id","job_title","job_location","salary_year_avg","job_posted_date","name","skills"
177779,"Data Scientist","Madison, SD","960000.0","2023-05-04 19:06:06","East River Electric Power Cooperative, Inc.","python"
177779,"Data Scientist","Madison, SD","960000.0","2023-05-04 19:06:06","East River Electric Power Cooperative, Inc.","java"
177779,"Data Scientist","Madison, SD","960000.0","2023-05-04 19:06:06","East River Electric Power Cooperative, Inc.","r"
177779,"Data Scientist","Madison, SD","960000.0","2023-05-04 19:06:06","East River Electric Power Cooperative, Inc.","c++"
1008448,"Senior Data Scientist","Pretoria, South Africa","890000.0","2023-11-02 10:31:43","MSP Staffing  LTD","sql"
1008448,"Senior Data Scientist","Pretoria, South Africa","890000.0","2023-11-02 10:31:43","MSP Staffing  LTD","python"
1008448,"Senior Data Scientist","Pretoria, South Africa","890000.0","2023-11-02 10:31:43","MSP Staffing  LTD","java"
1008448,"Senior Data Scientist","Pretoria, South Africa","890000.0","2023-11-02 10:31:43","MSP Staffing  LTD","c#"
1008448,"Senior Data Scientist","Pretoria, South Africa","890000.0","2023-11-02 10:31:43","MSP Staffing  LTD","azure"
1008448,"Senior Data Scientist","Pretoria, South Africa","890000.0","2023-11-02 10:31:43","MSP Staffing  LTD","databricks"
1008448,"Senior Data Scientist","Pretoria, South Africa","890000.0","2023-11-02 10:31:43","MSP Staffing  LTD","spark"
1008448,"Senior Data Scientist","Pretoria, South Africa","890000.0","2023-11-02 10:31:43","MSP Staffing  LTD","pandas"
1008448,"Senior Data Scientist","Pretoria, South Africa","890000.0","2023-11-02 10:31:43","MSP Staffing  LTD","pyspark"
1008448,"Senior Data Scientist","Pretoria, South Africa","890000.0","2023-11-02 10:31:43","MSP Staffing  LTD","hadoop"
1008448,"Senior Data Scientist","Pretoria, South Africa","890000.0","2023-11-02 10:31:43","MSP Staffing  LTD","tensorflow"
1008448,"Senior Data Scientist","Pretoria, South Africa","890000.0","2023-11-02 10:31:43","MSP Staffing  LTD","keras"
1008448,"Senior Data Scientist","Pretoria, South Africa","890000.0","2023-11-02 10:31:43","MSP Staffing  LTD","pytorch"
1008448,"Senior Data Scientist","Pretoria, South Africa","890000.0","2023-11-02 10:31:43","MSP Staffing  LTD","jupyter"
1008448,"Senior Data Scientist","Pretoria, South Africa","890000.0","2023-11-02 10:31:43","MSP Staffing  LTD","scikit-learn"
1008448,"Senior Data Scientist","Pretoria, South Africa","890000.0","2023-11-02 10:31:43","MSP Staffing  LTD","matplotlib"
1008448,"Senior Data Scientist","Pretoria, South Africa","890000.0","2023-11-02 10:31:43","MSP Staffing  LTD","plotly"
1008448,"Senior Data Scientist","Pretoria, South Africa","890000.0","2023-11-02 10:31:43","MSP Staffing  LTD","seaborn"
